financial_year,council,Population,premises_residential,premises_nonresidential,premises_with_garbage_service_residential,premises_with_garbage_service_nonresidential,garbage_service_frequency,garbage_collected_total_tonnes,garbage_collected_total_tonnes_estimated,premises_with_kerbside_recycling_service_residential,premises_with_kerbside_recycling_service_nonresidential,kerbside_recycling_service_frequency,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_recycling_total_contamination_tonnes,kerbside_recycling_glass_all_collected_tonnes,kerbside_recycling_glass_all_recycled_tonnes,kerbside_recycling_cans_aluminium_collected_tonnes,kerbside_recycling_cans_aluminium_recycled_tonnes,kerbside_recycling_cans_steel_collected_tonnes,kerbside_recycling_cans_steel_recycled_tonnes,kerbside_recycling_paper_all_collected_tonnes,kerbside_recycling_paper_all_recycled_tonnes,kerbside_recycling_plastics_all_collected_tonnes,kerbside_recycling_plastics_all_recycled_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,dropoff_recycling_total_collected_tonnes,dropoff_recycling_total_recycled_tonnes,dropoff_recycling_total_contamination_tonnes,dropoff_recycling_glass_all_collected_tonnes,dropoff_recycling_glass_all_recycled_tonnes,dropoff_recycling_cans_all_collected_tonnes,dropoff_recycling_cans_all_recycled_tonnes,dropoff_recycling_cardboard_collected_tonnes,dropoff_recycling_cardboard_recycled_tonnes,dropoff_recycling_paper_all_collected_tonnes,dropoff_recycling_paper_all_recycled_tonnes,dropoff_recycling_plastics_all_collected_tonnes,dropoff_recycling_plastics_all_recycled_tonnes,premises_with_kerbside_glass_service_residential,premises_with_kerbside_glass_service_nonresidential,kerbside_glass_service_frequency,kerbside_glass_total_collected_tonnes,premises_with_access_to_hardwaste_service_residential,hardwaste_collected_tonnes,hardwaste_disposed_tonnes,,,,
2001-2002,Alpine,Shire,Council,12788,4769,0,4741,,Weekly,2343,No,4741,,,684.5,683,,210,210,16.5,16.5,16.5,16.5,380,380,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ararat,Rural,City,Council,11521,5134,385,3820,350,Weekly,3434.24,No,3096,,Fortnightly,615.2,587,,403.2,403.2,43.2,43.2,,,48.8,48.8,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Ballarat,City,Council,83000,32370,0,32370,,Weekly,16000,No,32367,,,6100,4840,,2358,1223,95,70,234,209,2872,2859,541,479,1600,Fortnightly,No,1497,1497,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Banyule,City,Council,114222,44786,4888,44786,,Weekly,19134,No,44786,,,10872,10231,,3823,3284,66,66,429,429,5842,5841,712,611,44786,Fortnightly,No,6517,6517,,,,,,,,,,,,,,,,,,,861,753,,
2001-2002,Bass,Coast,Shire,Council,23175,19000,1697,17600,750,Weekly,5087,No,17375,975,Fortnightly,2490,2490,,483,483,33,33,87,87,1215,1215,114,114,,,,,,,,,,,,,,,,,,,,,,,17600,310.2,164.28,
2001-2002,Baw,Baw,Shire,Council,35000,11786,5864,11231,517,Weekly,8388,No,10669,,Weekly,1406.9,1060.4,,170.68,170.68,7.27,7.27,36.51,36.51,785.59,785.59,60.39,60.39,11231,Monthly,No,583.35,583.35,,,,,,,,,,,,,,,,,,11231,1136.96,489.6,
2001-2002,Bayside,City,Council,91000,36471,2829,38600,2829,Weekly,22180,No,35685,,Weekly,8005,7748.7,,3407,3154,51,51,223,223,3995,3995,329,325.7,20466,Fortnightly,,7800,7800,,,,,,,,,,,,,,,,,,38600,1600,1000,,
2001-2002,Boroondara,City,Council,158000,62000,5500,65000,5000,Weekly,38107,No,61500,5500,,16749,16023,,4538,4538,57,57,243,243,10057,10057,1597,1597,62000,Monthly,No,9129,9129,,,,,,,,,,,,,,,,,,62000,2053,1513,,
2001-2002,Brimbank,City,Council,169000,55224,3491,55224,,Weekly,41550,No,55224,,,9886,9886,,3010,3010,202,202,313,313,4921,4921,1440,1440,55224,Bi-annual,No,2200,2200,,,,,,,,,,,,,,,,,,55224,4560,3840,,
2001-2002,Buloke,Shire,Council,7600,2898,453,2646,,Weekly,1776,No,2646,362,,247,237,,75.25,73.01,2.05,2.05,6.14,6.14,149.74,142.25,13.82,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Campaspe,Shire,Council,36363,15011,1304,12296,1367,Weekly,12788,No,9953,,,1045,1045,,356,356,,,24,24,525,525,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Cardinia,Shire,Council,47000,16557,865,16565,370,Weekly,8600,No,16696,370,Weekly,4080,2937.6,,448.8,,40.8,,40.8,,2121.6,,285.6,,900,On,call,No,59,59,,,,,,,,,,,,,,,,,,16565,456,456,
2001-2002,Casey,City,Council,193347,59227,3000,62666,1100,Weekly,38533,No,59227,1000,,14636,12552,,5076,5076,520,520,996,996,5622,5622,1212,1039,15317,Fortnightly,No,7059.29,7059.29,,,,,,,,,,,,,,,,,,62666,632,632,,
2001-2002,Central,Goldfields,Shire,Council,12701,5552,418,5165,375,Weekly,2470,No,5122,418,,580,554,,126,115,8,7,24,22,383,372,41,38,,,,,,,,,,,,,,,,,,,,,,,4707,30,15,
2001-2002,Colac,Otway,Shire,Council,20207,11029,741,7489,494,Weekly,2800,No,7489,494,,1015.6,1015.6,,,,,,,,218.6,218.6,,,7489,Weekly,No,930,315,,,,,,,,,,,,,,,,,,145,20.112,2.095,
2001-2002,Corangamite,Shire,Council,16675,4500,500,4160,450,Weekly,2160,No,4610,500,,636,456,,140,140,,,,,305,305,140,140,4610,Monthly,No,700,480,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Darebin,City,Council,131000,52988,4620,52988,657,Weekly,27180,No,52988,,,10585,10270,,2843,2843,202,202,558,558,5634,5634,1034,1034,52988,Fortnightly,No,5198,5198,,,,,,,,,,,,,,,,,,52988,747,747,,
2001-2002,Delatite,Shire,Council,23000,10300,3200,10111,181,Weekly,5400,No,10000,,,4224.2,4097.5,,1538.6,1538.6,652.5,652.5,450.9,450.9,693.6,693.6,888.6,888.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,East,Gippsland,Shire,Council,40000,23834,0,13917,,Weekly,8503.3,No,12000,,Fortnightly,2231,1775,,550,550,30,30,10,10,1100,1100,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Frankston,City,Council,115203,44500,4500,44500,,Weekly,18495,No,44500,440,,8817,8442,,2084,,65,,304,,3965,3877,562,,,,,,,,,,,,,,,,,,,,,,,,29667,6,,,
2001-2002,Gannawarra,Shire,Council,12067,4109,2811,3445,710,Weekly,2465,No,3445,710,Fortnightly,1200,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Glen,Eira,City,Council,118000,52814,4853,52305,1690,Weekly,41249,No,52305,,,7785,7696,,3062,3062,52,52,195,195,3924,3924,463,463,7551,Fortnightly,No,2500,2182,,,,,,,,,,,,,,,,,,52814,788,767,
2001-2002,Glenelg,Shire,Council,20700,6025,4210,5876,256,Weekly,1571.4,No,5876,256,Weekly,780,495,,108,108,16,16,29,29,290,290,52,52,,,,,,,,,,,,,,,,,,,,,,,4000,,,,
2001-2002,Golden,Plains,Shire,Council,15140,4419,4100,5200,20,Weekly,3800,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Greater,Bendigo,City,Council,87600,35700,2863,34500,,Weekly,26075,No,29075,,,3552,3367,,1025,1025,37,37,96,96,1965,1965,244,244,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Greater,Dandenong,City,Council,130000,45116,7035,45116,,Weekly,31822,No,45116,,Fortnightly,11191,8447,,1362,1362,58,58,288,288,6259,6259,480,480,1489,Monthly,No,382.44,382.44,,,,,,,,,,,,,,,,,,45116,1602,1379,
2001-2002,Greater,Geelong,City,Council,193582,81000,0,79000,,Weekly,51426,No,76000,,,11585.72,11585.72,,3432,3432,105,105,265,265,7102.8,7102.8,364.12,364.12,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Greater,Shepparton,City,Council,57202,23735,2068,20831,1232,Weekly,16667,No,20234,1021,Fortnightly,4043,4035,,954,954,69,69,154,154,2575,2575,283,283,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-2002,Hepburn,Shire,Council,14320,7582,530,4100,62,Weekly,2730,No,4100,20,,562,560.9,,231.4,231.4,1.9,1.9,7.3,7.3,291.6,291.6,28.7,28.7,,,,,,,,,,,,,,,,,,,,,,,600,50,20,,
