financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2005-2006,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,4115,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,134808,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,0,0,0,0,0,,,,,,
2005-2006,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,7996,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,367220,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,9998,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,49883,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1666870,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,16752,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,9404,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,17882,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,4,0,0,0,0,1,,,,,
2005-2006,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,11777,0,0,0,0,1,,
2005-2006,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,615758,0,0,0,0,1,,
2005-2006,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,476,0,0,0,0,1,,
2005-2006,Glass,Container,glass,Commercial,and,Industrial,44975,0,0,0,0,1,,,,
2005-2006,Glass,Container,glass,Construction,and,Demolition,0,0,0,0,0,,,,,
2005-2006,Glass,Container,glass,Municipal,Solid,Waste,97642,0,0,0,0,1,,,,
2005-2006,Glass,Other,glass,Commercial,and,Industrial,25000,0,0,0,0,1,,,,
2005-2006,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,0,,,,,
2005-2006,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,0,,,,,
2005-2006,Metals,Aluminium,Commercial,and,Industrial,33885,0,0,0,0,1,,,,,
2005-2006,Metals,Aluminium,Construction,and,Demolition,2573,0,0,0,0,1,,,,,
2005-2006,Metals,Aluminium,Municipal,Solid,Waste,1491,0,0,0,0,1,,,,,
2005-2006,Metals,Ferrous,Commercial,and,Industrial,554018,0,0,0,0,1,,,,,
2005-2006,Metals,Ferrous,Construction,and,Demolition,118552,0,0,0,0,1,,,,,
2005-2006,Metals,Ferrous,Municipal,Solid,Waste,112422,0,0,0,0,1,,,,,
2005-2006,Metals,Other,metals,Commercial,and,Industrial,16361,0,0,0,0,1,,,,
2005-2006,Metals,Other,metals,Construction,and,Demolition,2375,0,0,0,0,1,,,,
2005-2006,Metals,Other,metals,Municipal,Solid,Waste,2086,0,0,0,0,1,,,,
2005-2006,Organics,Food,organics,Commercial,and,Industrial,22296,0,0,0,0,1,,,,
2005-2006,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,0,,,,,
2005-2006,Organics,Food,organics,Municipal,Solid,Waste,3500,0,0,0,0,1,,,,
2005-2006,Organics,Garden,organics,Commercial,and,Industrial,37504,0,0,0,0,1,,,,
2005-2006,Organics,Garden,organics,Construction,and,Demolition,38833,0,0,0,0,1,,,,
2005-2006,Organics,Garden,organics,Municipal,Solid,Waste,199956,0,0,0,0,1,,,,
2005-2006,Organics,Other,organics,Commercial,and,Industrial,14339,0,0,0,0,1,,,,
2005-2006,Organics,Other,organics,Construction,and,Demolition,13900,0,0,0,0,1,,,,
2005-2006,Organics,Other,organics,Municipal,Solid,Waste,358,0,0,0,0,1,,,,
2005-2006,Organics,Wood,/timber,Commercial,and,Industrial,81481,0,0,0,0,1,,,,
2005-2006,Organics,Wood,/timber,Construction,and,Demolition,1082,0,0,0,0,1,,,,
2005-2006,Organics,Wood,/timber,Municipal,Solid,Waste,1438,0,0,0,0,1,,,,
