"financial_year","council","Population","premises_residential","premises_nonresidential","premises_with_garbage_service_residential","premises_with_garbage_service_nonresidential","garbage_service_frequency","garbage_collected_total_tonnes","garbage_collected_total_tonnes_estimated","premises_with_kerbside_recycling_service_residential","premises_with_kerbside_recycling_service_nonresidential","kerbside_recycling_service_frequency","kerbside_recycling_total_collected_tonnes","kerbside_recycling_total_recycled_tonnes","kerbside_recycling_total_contamination_tonnes","kerbside_recycling_glass_all_collected_tonnes","kerbside_recycling_glass_all_recycled_tonnes","kerbside_recycling_cans_aluminium_collected_tonnes","kerbside_recycling_cans_aluminium_recycled_tonnes","kerbside_recycling_cans_steel_collected_tonnes","kerbside_recycling_cans_steel_recycled_tonnes","kerbside_recycling_paper_all_collected_tonnes","kerbside_recycling_paper_all_recycled_tonnes","kerbside_recycling_plastics_all_collected_tonnes","kerbside_recycling_plastics_all_recycled_tonnes","kerbside_organics_premises_residential","kerbside_organics_bin_frequency","kerbside_organics_fogo_included","kerbside_organics_collected_tonnes","kerbside_organics_processed_tonnes","dropoff_recycling_total_collected_tonnes","dropoff_recycling_total_recycled_tonnes","dropoff_recycling_total_contamination_tonnes","dropoff_recycling_glass_all_collected_tonnes","dropoff_recycling_glass_all_recycled_tonnes","dropoff_recycling_cans_all_collected_tonnes","dropoff_recycling_cans_all_recycled_tonnes","dropoff_recycling_cardboard_collected_tonnes","dropoff_recycling_cardboard_recycled_tonnes","dropoff_recycling_paper_all_collected_tonnes","dropoff_recycling_paper_all_recycled_tonnes","dropoff_recycling_plastics_all_collected_tonnes","dropoff_recycling_plastics_all_recycled_tonnes","premises_with_kerbside_glass_service_residential","premises_with_kerbside_glass_service_nonresidential","kerbside_glass_service_frequency","kerbside_glass_total_collected_tonnes","premises_with_access_to_hardwaste_service_residential","hardwaste_collected_tonnes","hardwaste_disposed_tonnes"
"2001-2002",Alpine Shire Council,12788,4769,0,4741,,Weekly,2343.0,No,4741,,,684.5,683.0,,210.0,210.0,16.5,16.5,16.5,16.5,380.0,380.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-2002",Ararat Rural City Council,11521,5134,385,3820,350,Weekly,3434.24,No,3096,,Fortnightly,615.2,587.0,,403.2,403.2,43.2,43.2,,,48.8,48.8,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-2002",Ballarat City Council,83000,32370,0,32370,,Weekly,16000.0,No,32367,,,6100.0,4840.0,,2358.0,1223.0,95.0,70.0,234.0,209.0,2872.0,2859.0,541.0,479.0,1600,Fortnightly,No,1497.0,1497.0,,,,,,,,,,,,,,,,,,,,
"2001-2002",Banyule City Council,114222,44786,4888,44786,,Weekly,19134.0,No,44786,,,10872.0,10231.0,,3823.0,3284.0,66.0,66.0,429.0,429.0,5842.0,5841.0,712.0,611.0,44786,Fortnightly,No,6517.0,6517.0,,,,,,,,,,,,,,,,,,,861.0,753.0
"2001-2002",Bass Coast Shire Council,23175,19000,1697,17600,750,Weekly,5087.0,No,17375,975,Fortnightly,2490.0,2490.0,,483.0,483.0,33.0,33.0,87.0,87.0,1215.0,1215.0,114.0,114.0,,,,,,,,,,,,,,,,,,,,,,,17600,310.2,164.28
"2001-2002",Baw Baw Shire Council,35000,11786,5864,11231,517,Weekly,8388.0,No,10669,,Weekly,1406.9,1060.4,,170.68,170.68,7.27,7.27,36.51,36.51,785.59,785.59,60.39,60.39,11231,Monthly,No,583.35,583.35,,,,,,,,,,,,,,,,,,11231,1136.96,489.6
"2001-2002",Bayside City Council,91000,36471,2829,38600,2829,Weekly,22180.0,No,35685,,Weekly,8005.0,7748.7,,3407.0,3154.0,51.0,51.0,223.0,223.0,3995.0,3995.0,329.0,325.7,20466,Fortnightly,,7800.0,7800.0,,,,,,,,,,,,,,,,,,38600,1600.0,1000.0
"2001-2002",Boroondara City Council,158000,62000,5500,65000,5000,Weekly,38107.0,No,61500,5500,,16749.0,16023.0,,4538.0,4538.0,57.0,57.0,243.0,243.0,10057.0,10057.0,1597.0,1597.0,62000,Monthly,No,9129.0,9129.0,,,,,,,,,,,,,,,,,,62000,2053.0,1513.0
"2001-2002",Brimbank City Council,169000,55224,3491,55224,,Weekly,41550.0,No,55224,,,9886.0,9886.0,,3010.0,3010.0,202.0,202.0,313.0,313.0,4921.0,4921.0,1440.0,1440.0,55224,Bi-annual,No,2200.0,2200.0,,,,,,,,,,,,,,,,,,55224,4560.0,3840.0
"2001-2002",Buloke Shire Council,7600,2898,453,2646,,Weekly,1776.0,No,2646,362,,247.0,237.0,,75.25,73.01,2.05,2.05,6.14,6.14,149.74,142.25,13.82,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-2002",Campaspe Shire Council,36363,15011,1304,12296,1367,Weekly,12788.0,No,9953,,,1045.0,1045.0,,356.0,356.0,,,24.0,24.0,525.0,525.0,140.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-2002",Cardinia Shire Council,47000,16557,865,16565,370,Weekly,8600.0,No,16696,370,Weekly,4080.0,2937.6,,448.8,,40.8,,40.8,,2121.6,,285.6,,900,On call,No,59.0,59.0,,,,,,,,,,,,,,,,,,16565,456.0,456.0
"2001-2002",Casey City Council,193347,59227,3000,62666,1100,Weekly,38533.0,No,59227,1000,,14636.0,12552.0,,5076.0,5076.0,520.0,520.0,996.0,996.0,5622.0,5622.0,1212.0,1039.0,15317,Fortnightly,No,7059.29,7059.29,,,,,,,,,,,,,,,,,,62666,632.0,632.0
"2001-2002",Central Goldfields Shire Council,12701,5552,418,5165,375,Weekly,2470.0,No,5122,418,,580.0,554.0,,126.0,115.0,8.0,7.0,24.0,22.0,383.0,372.0,41.0,38.0,,,,,,,,,,,,,,,,,,,,,,,4707,30.0,15.0
"2001-2002",Colac Otway Shire Council,20207,11029,741,7489,494,Weekly,2800.0,No,7489,494,,1015.6,1015.6,,,,,,,,218.6,218.6,,,7489,Weekly,No,930.0,315.0,,,,,,,,,,,,,,,,,,145,20.112,2.095
"2001-2002",Corangamite Shire Council,16675,4500,500,4160,450,Weekly,2160.0,No,4610,500,,636.0,456.0,,140.0,140.0,,,,,305.0,305.0,140.0,140.0,4610,Monthly,No,700.0,480.0,,,,,,,,,,,,,,,,,,,,
"2001-2002",Darebin City Council,131000,52988,4620,52988,657,Weekly,27180.0,No,52988,,,10585.0,10270.0,,2843.0,2843.0,202.0,202.0,558.0,558.0,5634.0,5634.0,1034.0,1034.0,52988,Fortnightly,No,5198.0,5198.0,,,,,,,,,,,,,,,,,,52988,747.0,747.0
"2001-2002",Delatite Shire Council,23000,10300,3200,10111,181,Weekly,5400.0,No,10000,,,4224.2,4097.5,,1538.6,1538.6,652.5,652.5,450.9,450.9,693.6,693.6,888.6,888.6,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-2002",East Gippsland Shire Council,40000,23834,0,13917,,Weekly,8503.3,No,12000,,Fortnightly,2231.0,1775.0,,550.0,550.0,30.0,30.0,10.0,10.0,1100.0,1100.0,85.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,
